case:concept:name,concept:name
0,"A-Enter"
0,"B-CalculateBP"
0,"E-CalculateOD"
0,"D-CalculateDD"
0,"C-CalculateCD"
0,"F-CalculateIP"
1,"A-Enter"
1,"B-CalculateBP"
1,"E-CalculateOD"
1,"C-CalculateCD"
1,"D-CalculateDD"
1,"F-CalculateIP"
2,"A-Enter"
2,"B-CalculateBP"
2,"C-CalculateCD"
2,"E-CalculateOD"
2,"D-CalculateDD"
2,"F-CalculateIP"
3,"A-Enter"
3,"B-CalculateBP"
3,"C-CalculateCD"
3,"D-CalculateDD"
3,"E-CalculateOD"
3,"F-CalculateIP"
4,"A-Enter"
4,"B-CalculateBP"
4,"D-CalculateDD"
4,"C-CalculateCD"
4,"E-CalculateOD"
4,"F-CalculateIP"
5,"A-Enter"
5,"B-CalculateBP"
5,"D-CalculateDD"
5,"E-CalculateOD"
5,"C-CalculateCD"
5,"F-CalculateIP"
