case:concept:name,concept:name
0,"Fill a pot with water"
0,"Put the pot on the stove"
0,"Turn on the stove"
0,"Wait till the water boils"
1,"Put the pot on the stove"
1,"Fill a pot with water"
1,"Turn on the stove"
1,"Wait till the water boils"
2,"Put the pot on the stove"
2,"Turn on the stove"
2,"Fill a pot with water"
2,"Wait till the water boils"
3,"Fill a pot with water"
3,"Turn on the stove"
3,"Wait till the water boils"
4,"Put the pot on the stove"
4,"Turn on the stove"
4,"Wait till the water boils"
5,"Fill a pot with water"
5,"Turn on the stove"
5,"Put the pot on the stove"
5,"Wait till the water boils"
6,"Turn on the stove"
6,"Put the pot on the stove"
6,"Fill a pot with water"
6,"Wait till the water boils"
7,"Turn on the stove"
7,"Put the pot on the stove"
7,"Wait till the water boils"
8,"Turn on the stove"
8,"Fill a pot with water"
8,"Put the pot on the stove"
8,"Wait till the water boils"
9,"Turn on the stove"
9,"Fill a pot with water"
9,"Wait till the water boils"
10,"Turn on the stove"
10,"Wait till the water boils"
