case:concept:name,concept:name
0,"Fill Out Credit Card Application"
0,"Submit Credit Card Application"
0,"Wait for Credit Check and Approval"
0,"Research Available Credit Card Offers"
0,"Receive and Activate the New Card"
0,"Research Available Credit Card Offers"
0,"Choose a Credit Card that Suits Your Needs"
1,"Fill Out Credit Card Application"
1,"Submit Credit Card Application"
1,"Wait for Credit Check and Approval"
1,"Research Available Credit Card Offers"
1,"Receive and Activate the New Card"
1,"Choose a Credit Card that Suits Your Needs"
2,"Fill Out Credit Card Application"
2,"Submit Credit Card Application"
2,"Wait for Credit Check and Approval"
2,"Research Available Credit Card Offers"
2,"Choose a Credit Card that Suits Your Needs"
3,"Fill Out Credit Card Application"
3,"Submit Credit Card Application"
3,"Wait for Credit Check and Approval"
3,"Research Available Credit Card Offers"
3,"Research Available Credit Card Offers"
3,"Receive and Activate the New Card"
3,"Choose a Credit Card that Suits Your Needs"
4,"Fill Out Credit Card Application"
4,"Submit Credit Card Application"
4,"Wait for Credit Check and Approval"
4,"Receive and Activate the New Card"
4,"Research Available Credit Card Offers"
4,"Research Available Credit Card Offers"
4,"Choose a Credit Card that Suits Your Needs"
5,"Fill Out Credit Card Application"
5,"Submit Credit Card Application"
5,"Wait for Credit Check and Approval"
5,"Receive and Activate the New Card"
5,"Research Available Credit Card Offers"
5,"Choose a Credit Card that Suits Your Needs"
6,"Fill Out Credit Card Application"
6,"Submit Credit Card Application"
6,"Wait for Credit Check and Approval"
6,"Research Available Credit Card Offers"
6,"Research Available Credit Card Offers"
6,"Choose a Credit Card that Suits Your Needs"
7,"Fill Out Credit Card Application"
7,"Research Available Credit Card Offers"
7,"Submit Credit Card Application"
7,"Research Available Credit Card Offers"
7,"Choose a Credit Card that Suits Your Needs"
7,"Acquire Application Form"
7,"Wait for Credit Check and Approval"
8,"Fill Out Credit Card Application"
8,"Research Available Credit Card Offers"
8,"Submit Credit Card Application"
8,"Research Available Credit Card Offers"
8,"Wait for Credit Check and Approval"
8,"Choose a Credit Card that Suits Your Needs"
9,"Fill Out Credit Card Application"
9,"Research Available Credit Card Offers"
9,"Submit Credit Card Application"
9,"Wait for Credit Check and Approval"
9,"Choose a Credit Card that Suits Your Needs"
10,"Fill Out Credit Card Application"
10,"Research Available Credit Card Offers"
10,"Submit Credit Card Application"
10,"Wait for Credit Check and Approval"
10,"Receive and Activate the New Card"
10,"Choose a Credit Card that Suits Your Needs"
11,"Fill Out Credit Card Application"
11,"Research Available Credit Card Offers"
11,"Submit Credit Card Application"
